category,name,description,endpoint,docs_link,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_loss_by_lth_sth,Realized loss LTH/STH,/v1/metrics/breakdowns/realized_loss_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_loss_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_loss_by_pnl,Realized loss by PnL,/v1/metrics/breakdowns/realized_loss_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_loss_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_loss_by_wallet_size,Realized loss by wallet sz,/v1/metrics/breakdowns/realized_loss_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_loss_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_profit_by_age,Realized profit by age,/v1/metrics/breakdowns/realized_profit_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_profit_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_profit_by_lth_sth,Realized profit LTH/STH,/v1/metrics/breakdowns/realized_profit_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_profit_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_profit_by_pnl,Realized profit by PnL,/v1/metrics/breakdowns/realized_profit_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_profit_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,realized_profit_by_wallet_size,Realized profit by wallet,/v1/metrics/breakdowns/realized_profit_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-realized_profit_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,sopr_by_age,SOPR by age cohort,/v1/metrics/breakdowns/sopr_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-sopr_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,sopr_by_lth_sth,SOPR by LTH/STH,/v1/metrics/breakdowns/sopr_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-sopr_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,sopr_by_pnl,SOPR by PnL status,/v1/metrics/breakdowns/sopr_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-sopr_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,sopr_by_wallet_size,SOPR by wallet size,/v1/metrics/breakdowns/sopr_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-sopr_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_loss_sum_by_age,Spent vol loss by age,/v1/metrics/breakdowns/spent_volume_loss_sum_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_loss_sum_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_loss_sum_by_lth_sth,Spent vol loss LTH/STH,/v1/metrics/breakdowns/spent_volume_loss_sum_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_loss_sum_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_loss_sum_by_wallet_size,Spent vol loss by wallet,/v1/metrics/breakdowns/spent_volume_loss_sum_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_loss_sum_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_profit_sum_by_age,Spent vol profit by age,/v1/metrics/breakdowns/spent_volume_profit_sum_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_profit_sum_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_profit_sum_by_lth_sth,Spent vol profit LTH/STH,/v1/metrics/breakdowns/spent_volume_profit_sum_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_profit_sum_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_profit_sum_by_wallet_size,Spent vol profit wallet,/v1/metrics/breakdowns/spent_volume_profit_sum_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_profit_sum_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_sum_by_age,Spent volume by age,/v1/metrics/breakdowns/spent_volume_sum_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_sum_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_sum_by_lth_sth,Spent volume LTH/STH,/v1/metrics/breakdowns/spent_volume_sum_by_lth_sth,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_sum_by_lth_sth,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_sum_by_pnl,Spent volume by PnL,/v1/metrics/breakdowns/spent_volume_sum_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_sum_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,spent_volume_sum_by_wallet_size,Spent volume by wallet sz,/v1/metrics/breakdowns/spent_volume_sum_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-spent_volume_sum_by_wallet_size,,,,,,,,,,,,,,,,,,,,
breakdowns,supply_by_age,Supply by age bands,/v1/metrics/breakdowns/supply_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-supply_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,supply_by_investor_behavior,Supply by investor behav,/v1/metrics/breakdowns/supply_by_investor_behavior,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-supply_by_investor_behavior,,,,,,,,,,,,,,,,,,,,
breakdowns,supply_by_pnl,Supply by PnL status,/v1/metrics/breakdowns/supply_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-supply_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,supply_by_pnl_relative,Supply by PnL relative,/v1/metrics/breakdowns/supply_by_pnl_relative,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-supply_by_pnl_relative,,,,,,,,,,,,,,,,,,,,
breakdowns,supply_by_wallet_size,Supply by wallet size,/v1/metrics/breakdowns/supply_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-supply_by_wallet_size,,,,,,,,,,,,,,,,,,,,
derivatives,dvol_ohlc,DVOL OHLC,/v1/metrics/derivatives/dvol_ohlc,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-dvol_ohlc,,,,,,,,,,,,,,,,,,,,
derivatives,futures_annualized_basis_3m,Futures 3M annualized basis,/v1/metrics/derivatives/futures_annualized_basis_3m,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_annualized_basis_3m,,,,,,,,,,,,,,,,,,,,
derivatives,futures_cvd,Futures CVD,/v1/metrics/derivatives/futures_cvd,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_cvd,,,,,,,,,,,,,,,,,,,,
derivatives,futures_cvd_perpetual,Perp futures CVD,/v1/metrics/derivatives/futures_cvd_perpetual,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_cvd_perpetual,,,,,,,,,,,,,,,,,,,,
derivatives,futures_estimated_leverage_ratio,Est. leverage ratio,/v1/metrics/derivatives/futures_estimated_leverage_ratio,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_estimated_leverage_ratio,,,,,,,,,,,,,,,,,,,,
derivatives,futures_funding_rate_perpetual,Perp funding rate,/v1/metrics/derivatives/futures_funding_rate_perpetual,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_funding_rate_perpetual,,,,,,,,,,,,,,,,,,,,
derivatives,futures_funding_rate_perpetual_all,All perp funding rates,/v1/metrics/derivatives/futures_funding_rate_perpetual_all,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_funding_rate_perpetual_all,,,,,,,,,,,,,,,,,,,,
derivatives,futures_funding_rate_perpetual_all_v2,All perp funding rates v2,/v1/metrics/derivatives/futures_funding_rate_perpetual_all_v2,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_funding_rate_perpetual_all_v2,,,,,,,,,,,,,,,,,,,,
derivatives,futures_funding_rate_perpetual_v2,Perp funding rate v2,/v1/metrics/derivatives/futures_funding_rate_perpetual_v2,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_funding_rate_perpetual_v2,,,,,,,,,,,,,,,,,,,,
derivatives,futures_liquidated_total_volume_mean,Mean liquidation volume,/v1/metrics/derivatives/futures_liquidated_total_volume_mean,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_liquidated_total_volume_mean,,,,,,,,,,,,,,,,,,,,
derivatives,futures_liquidated_total_volume_sum,Total liquidation volume,/v1/metrics/derivatives/futures_liquidated_total_volume_sum,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_liquidated_total_volume_sum,,,,,,,,,,,,,,,,,,,,
derivatives,futures_liquidated_volume_long_mean,Mean long liquidation vol,/v1/metrics/derivatives/futures_liquidated_volume_long_mean,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_liquidated_volume_long_mean,,,,,,,,,,,,,,,,,,,,
derivatives,futures_liquidated_volume_long_relative,Long liquidation relative,/v1/metrics/derivatives/futures_liquidated_volume_long_relative,https://docs.glassnode.com/basic-api/endpoints/derivatives#get-v1-metrics-derivatives-futures_liquidated_volume_long_relative,,,,,,,,,,,,,,,,,,,,
